SMILES,hERG_IC50_nM,hERG_label,source
CCC(O)(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,15700.0,0,ChEMBL
O=C(O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,75000.0,0,ChEMBL
CC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,10000.0,0,ChEMBL
CCCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,26000.0,0,ChEMBL
CCC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,2200.0,0,ChEMBL
CC(C)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,10000.0,0,ChEMBL
CN(C)Cc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,11.0,1,ChEMBL
CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,1947.0,0,ChEMBL
CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,4550.0,0,ChEMBL
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccccc23)CC1,7.0,1,ChEMBL
CCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,3500.0,0,ChEMBL
COC(=O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,131.0,1,ChEMBL
CS(=O)(=O)Nc1ccc2c(c1)C(O)CC1(CCN(C3CCc4cc(C#N)ccc4C3)CC1)O2,34.0,1,ChEMBL
CC(C)(O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,460.0,1,ChEMBL
COC(=O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,36.0,1,ChEMBL
Fc1ccc(-n2cc(C3CCNCC3)c3cc(Cl)ccc32)cc1,204.0,1,ChEMBL
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],50118.72,0,ChEMBL
Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1.0,1,ChEMBL
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,3235.94,0,ChEMBL
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,10471.29,0,ChEMBL
CSc1ccc([C@H]2N=C(OCc3ccc(NS(C)(=O)=O)cc3)N(C)Cc3ccccc32)cc1.Cl,21000.0,0,ChEMBL
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,912010.84,0,ChEMBL
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,3981.07,0,ChEMBL
CSc1ccc([C@@H]2N=C(OCc3ccc(NS(C)(=O)=O)cc3)N(C)Cc3ccccc32)cc1.Cl,56000.0,0,ChEMBL
O=C(O[C@H]1C[C@@H]2C[C@@H]3C[C@@H](C1)N2CC3=O)C1CNc2ccccc21,5888.44,0,ChEMBL
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,10.0,1,ChEMBL
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,91201.08,0,ChEMBL
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1412537.54,0,ChEMBL
CN1Cc2ccccc2[C@@H](c2ccccc2)N=C1OCc1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O,38000.0,0,ChEMBL
CN1Cc2ccccc2[C@H](c2ccc(F)cc2F)N=C1CCc1ccc(NS(C)(=O)=O)cc1.Cl,85000.0,0,ChEMBL
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,20892.96,0,ChEMBL
COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,1096.48,0,ChEMBL
Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,5623.41,0,ChEMBL
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,954992.59,0,ChEMBL
Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,4466.84,0,ChEMBL
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1513.56,0,ChEMBL
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,10000.0,0,ChEMBL
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,239883.29,0,ChEMBL
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,30199.52,0,ChEMBL
CN(C)CCOC(c1ccccc1)c1ccccc1,26915.35,0,ChEMBL
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1905.46,0,ChEMBL
CNCCCN1c2ccccc2CCc2ccccc21,1513.56,0,ChEMBL
CN1CCC[C@H]1c1cccnc1,245470.89,0,ChEMBL
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,58884.37,0,ChEMBL
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,10000.0,0,ChEMBL
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,323.59,1,ChEMBL
COc1ccc(C2CCN(CC[C@H]3CCOc4ccccc43)CC2)cc1OC,251.19,1,ChEMBL
COc1ccc(C2CCN(CCC3CCOc4ccccc43)CC2)cc1OC,199.53,1,ChEMBL
CN1Cc2ccccc2[C@H](c2ccccc2)N=C1OCc1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O,29000.0,0,ChEMBL
NC1=NCC2c3ccccc3Cc3ccccc3N12,100000.0,0,ChEMBL
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,812.83,1,ChEMBL
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,323.59,1,ChEMBL
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,181.97,1,ChEMBL
CN1Cc2ccccc2[C@@H](c2ccc(F)cc2F)N=C1CCc1ccc(NS(C)(=O)=O)cc1.Cl,38000.0,0,ChEMBL
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,3890.45,0,ChEMBL
Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,120.23,1,ChEMBL
CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,28.0,1,ChEMBL
CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1cccc(Cl)c1C#N,194.0,1,ChEMBL
CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1.Cl,562.34,1,ChEMBL
CN([C@H]1c2cc(OCCCC(F)(F)F)ccc2OC(C)(C)[C@@H]1O)S(C)(=O)=O,12600.0,0,ChEMBL
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,39000.0,0,ChEMBL
CCCNCC(O)COc1ccc(O)cc1C(=O)CCc1ccccc1,40000.0,0,ChEMBL
NCC(O)COc1ccccc1C(=O)CCc1ccccc1,44000.0,0,ChEMBL
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,240000.0,0,ChEMBL
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3000000.0,0,ChEMBL
Nc1ccncc1,4400000.0,0,ChEMBL
CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN(CCc3ccc4nonc4c3)CC1)O2,8.0,1,ChEMBL
CCCCCCCN(CC)CCCCc1ccc([N+](=O)[O-])cc1,10.0,1,ChEMBL
COc1ccc(CCN(C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC,20.0,1,ChEMBL
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,150.0,1,ChEMBL
CCC[S+]([O-])CCCN(CC)CC(O)COc1ccc(C#N)cc1,250.0,1,ChEMBL
CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,500.0,1,ChEMBL
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,800.0,1,ChEMBL
COc1ccc(CCN(C)CCOc2ccc(NS(C)(=O)=O)cc2N)cc1OC,1000.0,0,ChEMBL
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1100.0,0,ChEMBL
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,3000.0,0,ChEMBL
COc1ccc(CCNC(C)COc2c(C)cccc2C)cc1OC,6100.0,0,ChEMBL
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,8800.0,0,ChEMBL
Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,10000.0,0,ChEMBL
CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,12000.0,0,ChEMBL
COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3C(Cc3ccccc3)N1CC2,14000.0,0,ChEMBL
COc1cc2c(cc1OC)[C@@H](Cc1ccc(Oc3cc(C[C@@H]4c5cc(OC)c(OC)cc5CCN4C)ccc3O)cc1)N(C)CC2,16000.0,0,ChEMBL
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],23000.0,0,ChEMBL
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,100000.0,0,ChEMBL
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,22800000.0,0,ChEMBL
CN1Cc2ccccc2[C@@H](c2ccccc2)N=C1CCc1ccccc1,90.0,1,ChEMBL
COc1ccc(CCNCCCNC(=O)c2ccc([N+](=O)[O-])cc2)cc1OC,420.0,1,ChEMBL
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,2300.0,0,ChEMBL
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,2500.0,0,ChEMBL
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,2600.0,0,ChEMBL
CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,8100.0,0,ChEMBL
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C2CCCCC2)cc1)C(=O)O.O=C(O)C(F)(F)F,90000.0,0,ChEMBL
NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=O)O)cc1)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F,79000.0,0,ChEMBL
NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F.O=C(O)C(F)(F)F,870.0,1,ChEMBL
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cc(F)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,76000.0,0,ChEMBL
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2c(F)c(F)c(F)c(F)c2F)cc1)C(=O)O.O=C(O)C(F)(F)F,100000.0,0,ChEMBL
COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2ccccc2F)cc1.O=C(O)C(F)(F)F,9700.0,0,ChEMBL
NCc1ccc(F)c(C2CCN(C(=O)c3cccc(-c4nc(-c5cccs5)no4)c3)CC2)c1,800.0,1,ChEMBL
NCc1ccc(F)c(C2CCN(C(=O)c3cc(C(=O)O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,76800.0,0,ChEMBL
NCc1cccc(C2CCN(C(=O)c3cc(C(N)=O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,30000.0,0,ChEMBL
NCc1ccc(F)c(C2CCN(C(=O)c3cc(C(N)=O)cc(-c4nc(-c5cccs5)no4)c3)CC2)c1,17100.0,0,ChEMBL
C[C@@H](c1ccc(-c2cccc(C(=O)O)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,100000.0,0,ChEMBL
C[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,1100.0,0,ChEMBL
O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3cnc4ccccn34)CC2)[C@@H](c2cccc(F)c2)C1,2700.0,0,ChEMBL
C[C@@H](c1ccc(-c2cccc(-c3nn[nH]n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,59000.0,0,ChEMBL
C[C@@H](c1ccc(-c2cccc(-c3noc(O)n3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,28000.0,0,ChEMBL
O=C(O)[C@@H](CC1CCC1)N1C[C@H](CN2CCC(c3cnc4ccc(C(F)(F)F)cn34)CC2)[C@@H](c2cccc(F)c2)C1,10000.0,0,ChEMBL
COc1ccc([C@@H](O)C[C@H]2c3cc(OC)c(OC)cc3CCN2C)cc1,790.0,1,ChEMBL
COc1cc2c(cc1OC)[C@H](C[C@H](O)c1ccc(Cl)cc1)N(C)CC2,400.0,1,ChEMBL
COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccccc2)n1,180.0,1,ChEMBL
COc1cccc(CN2CCCCCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,40.0,1,ChEMBL
Clc1ccc(-c2nc(COc3ccccc3CN3CCCCCCC3)cs2)cc1,30.0,1,ChEMBL
Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,15.85,1,ChEMBL
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,16.98,1,ChEMBL
Cc1nc2n(c(=O)c1CCN1CCC(C3NOc4cc(F)ccc43)CC1)CCCC2,151.36,1,ChEMBL
COc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,7700.0,0,ChEMBL
O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1,9800.0,0,ChEMBL
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,323.59,1,ChEMBL
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1584.89,0,ChEMBL
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1819.7,0,ChEMBL
CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,2187.76,0,ChEMBL
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,3019.95,0,ChEMBL
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,7585.78,0,ChEMBL
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,9772.37,0,ChEMBL
C/C=C1/N(C)C(C)CC1(c1ccccc1)c1ccccc1,50118.72,0,ChEMBL
CCN(CC)CCNC(=O)c1ccc(N)cc1,138038.43,0,ChEMBL
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,301995.17,0,ChEMBL
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,1000000.0,0,ChEMBL
O=c1cc(NC2CCN(Cc3ccc4c(c3)OCO4)CC2)c2cc(Cl)ccc2o1,2250.0,0,ChEMBL
CC(C)(C)C1CCC2(CC1)CCN(c1ccc(OC(F)(F)F)cc1)C(=O)N2Cc1ccc(C(=O)Nc2nn[nH]n2)cc1,5400.0,0,ChEMBL
COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,10000.0,0,ChEMBL
C[C@@H](c1ccc(-c2ccc(O)nc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,8300.0,0,ChEMBL
C[C@@H](c1ccc(-c2cn(C)c(=O)cc2CO)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,100000.0,0,ChEMBL
C[C@@H](c1ccc(-c2ccc(=O)n(C)c2F)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,100000.0,0,ChEMBL
C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,100000.0,0,ChEMBL
Cc1c(Cl)ccc2c1N1[C@H](CNC[C@H]1C)C2,2500.0,0,ChEMBL
C[C@@H]1CNC[C@H]2Cc3ccc(COCC4CC4)nc3N21,30000.0,0,ChEMBL
Cc1ccc2c(n1)N1[C@@H](CNC[C@H]1C)C2,21000.0,0,ChEMBL
C[C@@H]1CNC[C@H]2Cc3ccc(Cl)nc3N21,40000.0,0,ChEMBL
Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,18000.0,0,ChEMBL
COC[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C,18000.0,0,ChEMBL
Cc1cc2c(F)c(Oc3ncnn4cc(OCCCS(C)(=O)=O)c(C)c34)ccc2[nH]1,20000.0,0,ChEMBL
N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CC1,6500.0,0,ChEMBL
CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CCNCC1,1300.0,0,ChEMBL
O=C([C@@H](O)C1CC1)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,11000.0,0,ChEMBL
CC(C)(C)[C@H](NC(=O)OCCO)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,25000.0,0,ChEMBL
CC(C)(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,1500.0,0,ChEMBL
CC(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,2400.0,0,ChEMBL
CC(C)(CN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,2200.0,0,ChEMBL
CN(CCCN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,1300.0,0,ChEMBL
CC(=O)N1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=C[C@H]2c2ccccc2)CC1,10000.0,0,ChEMBL
CC(C)(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,7800.0,0,ChEMBL
CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1)C1CCNCC1,6600.0,0,ChEMBL
CN(CCO)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,15000.0,0,ChEMBL
CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,33000.0,0,ChEMBL
CC(C)(C)[C@H](O)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,7800.0,0,ChEMBL
O=C([C@@H](O)C1CC1)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,18000.0,0,ChEMBL
N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1)C1CC1,5600.0,0,ChEMBL
CC(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,8500.0,0,ChEMBL
