smiles,measured log solubility in mols per litre,source
Cc1cc(O)c2c(c1)Cc1cccc(O)c1C2=O,4.8,ChEMBL
CN(C)CCNc1ccc2c(=O)[nH]c(=O)n3c4ccccc4c(=O)c1c23,2.02,ChEMBL
O=C1C=CC(=O)c2c(O)ccc(O)c21,3.7,ChEMBL
CN(C)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccccc4c(=O)c1c23,1.94,ChEMBL
CN(C)CCN(C)c1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccccc4c(=O)c1c23,1.12,ChEMBL
O=C(O)c1cc(O)c2c(c1)Cc1cccc(O)c1C2=O,2.96,ChEMBL
O=C1c2c(O)cccc2C(SCc2ccccc2)c2cccc(O)c21,4.87,ChEMBL
O=C(O)c1ccccc1Nc1ccccc1,3.08,ChEMBL
CCCCc1ccc2c(c1O)C(=O)c1c(O)cccc1C2,5.89,ChEMBL
CC(C)=CCc1c(C)c(CC=C(C)C)c2c(c1O)C(=O)c1c(O)cc(O)c(CC=C(C)C)c1C2,8.01,ChEMBL
CCCOc1ccc(S(=O)(=O)N(C)CCN(C)C)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,4.9,ChEMBL
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],2.06,ChEMBL
COc1cccc2c1Cc1c(O)cccc1C2=O,2.6,ChEMBL
CCC1c2cccc(O)c2C(=O)c2c(O)cccc21,4.37,ChEMBL
O=C1c2c(O)cccc2C(C(=O)c2ccccc2)c2cccc(O)c21,3.81,ChEMBL
CN(C)CCn1c(=O)c2ccc(NCCNCCO)c3c(=O)c4ccccc4n(c1=O)c23,0.91,ChEMBL
CN(C)CCn1c(=O)c2ccc(NCCNCCO)c3c(=O)c4cc(O)ccc4n(c1=O)c23,0.47,ChEMBL
Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],0.16,ChEMBL
c1ccc(Oc2ccccc2)cc1,3.83,ChEMBL
CCC(=O)c1ccc2c(c1O)C(=O)c1c(O)cccc1C2,4.59,ChEMBL
COC1c2cccc(O)c2C(=O)c2c(O)cccc21,3.96,ChEMBL
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1cccc(OC)c1,3.22,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,3.42,ChEMBL
CC(=O)c1c(O)c(/C(C)=N/c2cc(NC(=O)C(CO)CO)cc(NC(=O)C(CO)CO)c2)c(O)oc1=O,-2.43,ChEMBL
O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,4.16,ChEMBL
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.84,ChEMBL
CC(=O)c1c(O)c(/C(C)=N/c2cc(NC(=O)CO)cc(NC(=O)CO)c2)c(O)oc1=O,-0.32,ChEMBL
O=C(c1ccccc1)c1cccc2c1C(=O)c1c(O)cccc1C2,3.99,ChEMBL
COc1cccc2c1C(OC)c1c(cccc1OC)C2,4.1,ChEMBL
O=C1c2c(O)cccc2C(Br)c2cccc(O)c21,3.94,ChEMBL
O=C1c2cccc(Cl)c2Cc2c(Cl)cccc21,5.05,ChEMBL
CN(C)CCCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccccc4c(=O)c1c23,2.27,ChEMBL
CC(=O)Oc1cccc2c1C(=O)c1c(O)cccc1C2,3.25,ChEMBL
c1c[nH]cn1,-0.42,ChEMBL
CCCOc1ccc(S(=O)(=O)N2CCC(CCO)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,3.67,ChEMBL
CO[C@H]1C[C@]2(C)[C@@H](O)CC[C@H]2[C@@H]2CCc3cc(O)ccc3[C@H]21,2.72,ChEMBL
CN(C)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccc(N)cc4c(=O)c1c23.Cl.Cl.Cl,0.67,ChEMBL
