Drug,CYP3A4,CYP2C9,CYP2D6,source
OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0,,,ChEMBL
CNc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,0,,,ChEMBL
Cc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,0,,,ChEMBL
NC(=O)c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1ccncc1,1,,,ChEMBL
Cc1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,0,,,ChEMBL
Cc1cc(C#N)c2c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n(C)c2n1,0,,,ChEMBL
COCc1nc(N2CCN(CCc3ccc(F)c(F)c3)CC2)c2c(n1)c1c(Cl)nccc1n2C,0,,,ChEMBL
COc1ccc2c(c1)[nH]c1c(N3CCN(CCc4ccc(F)c(F)c4)CC3)ncnc12,0,,,ChEMBL
O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1cccnc1,0,,,ChEMBL
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],0,,,ChEMBL
Cn1c2nccc(C(N)=O)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
O=[N+]([O-])c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,0,,,ChEMBL
COc1ccc2c3nc[nH]c(N4CCN(CCc5ccc(F)c(F)c5)CC4)c-3nc2c1[N+](=O)[O-],0,,,ChEMBL
Cc1cc(C(N)=O)c2c3ncnc(N4CCN(CCc5ccc(F)c(F)c5)CC4)c3n(C)c2n1,1,,,ChEMBL
Cn1c2ccncc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2CCc1ccccc1,0,,,ChEMBL
CCCCOc1ccc(-n2ccnc2)cc1,1,,,ChEMBL
CCCCOc1ccc(-c2cccnc2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2cc(C)no2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2[nH]ncc2C)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2ccno2)cc1,0,,,ChEMBL
CCCCOc1cccc(-c2ccno2)c1,0,,,ChEMBL
CCCCOc1ccc(-n2cncn2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2cc[nH]c2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2cc[n+](C)[nH]2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2ccncc2)cc1,0,,,ChEMBL
CCCCOc1ccccc1-c1ccno1,0,,,ChEMBL
CCCCOc1ccc(-n2ccnc2C)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2ccnn2C)cc1,0,,,ChEMBL
CCCCOc1ccc(N/C=N\O)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2cnccn2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2ccns2)cc1,0,,,ChEMBL
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,1,,,ChEMBL
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3cccc(Cl)c3)c2)C[C@H]1C(=O)NCC(F)(F)F,1,,,ChEMBL
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccc(F)c(F)c3F)c2)C[C@H]1C(=O)NCC(F)(F)F,1,,,ChEMBL
CCCCOc1ccc(-c2cnco2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2ccon2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2nn[nH]n2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2ccncn2)cc1,0,,,ChEMBL
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccc(Cl)cc3)c2)C[C@H]1C(=O)NCC(F)(F)F,1,,,ChEMBL
CCCCOc1ccc(-c2cc[nH]n2)cc1,0,,,ChEMBL
CCCCOc1ccc(-n2cncc2C)cc1,1,,,ChEMBL
CCCCc1ccc(/N=C/NO)c(C)c1,0,,,ChEMBL
CCCCOc1ccc(-c2cc(C)[nH]n2)cc1,0,,,ChEMBL
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccc3)o2)C[C@H]1C(=O)NCC(F)(F)F,1,,,ChEMBL
CCCCOc1ccc(-c2ccccn2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2c[nH]cn2)cc1,1,,,ChEMBL
CCCCOc1ccc(-c2ncc[nH]2)cc1,0,,,ChEMBL
CCCCOc1ccc(-c2oncc2C)cc1,0,,,ChEMBL
CCCCOc1ccc(-n2cnc(C)c2)cc1,0,,,ChEMBL
O=C1c2ccccc2CCCN1CCN1CCC(n2c(O)nc3cc(F)ccc32)CC1,0,,,ChEMBL
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,1,,,ChEMBL
COc1ccc(CN2CCN(C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)OCc3csc(C)n3)C(C)C)[C@H](C(=O)NC(C)(C)C)C2)cc1OC,0,,,ChEMBL
